Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Search,Chrome 106.0.0.0,,,2022-10-30 14:24:02,2022-10-30 14:25:36,1m - 33.893s,PASSED
,,,,,,,
Test Cases/StepDefinition/Feature Search Category/SEARCHCATEGORY001 - SEARCH CATEGORY Semua,Chrome 106.0.0.0,,,2022-10-30 14:24:07,2022-10-30 14:24:23,16.405s,PASSED
Start listener action : beforeTestCase,Chrome 106.0.0.0,,,2022-10-30 14:24:07,2022-10-30 14:24:11,3.806s,PASSED
"callTestCase(findTestCase(""StepDefinition/Feature Login/LOGIN001- Login With Valid Email and Password""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-30 14:24:11,2022-10-30 14:24:21,9.799s,PASSED
"callTestCase(findTestCase(""Pages/SearchCategory/Category Semua""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-30 14:24:21,2022-10-30 14:24:21,0.673s,PASSED
"callTestCase(findTestCase(""Pages/SearchCategory/Verify Content Semua""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-30 14:24:21,2022-10-30 14:24:23,1.103s,PASSED
Start listener action : afterTestCase,Chrome 106.0.0.0,,,2022-10-30 14:24:23,2022-10-30 14:24:23,0.626s,PASSED
,,,,,,,
Test Cases/StepDefinition/Feature Search Category/SEARCHCATEGORY002 - SEARCH CATEGORY Hoby,Chrome 106.0.0.0,,,2022-10-30 14:24:23,2022-10-30 14:24:38,14.452s,PASSED
Start listener action : beforeTestCase,Chrome 106.0.0.0,,,2022-10-30 14:24:23,2022-10-30 14:24:26,2.434s,PASSED
"callTestCase(findTestCase(""StepDefinition/Feature Login/LOGIN001- Login With Valid Email and Password""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-30 14:24:26,2022-10-30 14:24:35,8.726s,PASSED
"callTestCase(findTestCase(""Pages/SearchCategory/Category Hoby""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-30 14:24:35,2022-10-30 14:24:35,0.662s,PASSED
"callTestCase(findTestCase(""Pages/SearchCategory/Verify Content Hoby""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-30 14:24:35,2022-10-30 14:24:37,1.652s,PASSED
Start listener action : afterTestCase,Chrome 106.0.0.0,,,2022-10-30 14:24:37,2022-10-30 14:24:38,0.656s,PASSED
,,,,,,,
Test Cases/StepDefinition/Feature Search Category/SEARCHCATEGORY003 - SEARCH CATEGORY Kendaraan,Chrome 106.0.0.0,,,2022-10-30 14:24:38,2022-10-30 14:24:52,14.456s,PASSED
